Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,p,Block Number,Point ID
0.5,0,0,0.5,0,-4.99908,1.63774e-23,4.99908,-7.12629,1,0
0.499823,0.0130882,0,0.499994,0.132982,-4.99732,2.3056e-24,4.99908,-7.29976,1,31
0.499304,0.0261673,0,0.499989,0.263539,-4.99208,-2.14059e-24,4.99903,-7.48081,1,62
0.498443,0.0392283,0,0.499984,0.393915,-4.98344,3.48571e-23,4.99898,-7.66564,1,93
0.497241,0.0522624,0,0.49998,0.52402,-4.97141,7.04214e-23,4.99895,-7.85321,1,124
0.495699,0.0652606,0,0.499976,0.653765,-4.95598,6.4803e-23,4.99891,-8.04316,1,155
0.493818,0.0782141,0,0.499973,0.783063,-4.93717,3.7111e-23,4.99888,-8.2352,1,186
0.491598,0.091114,0,0.499971,0.911826,-4.91499,-2.74705e-24,4.99886,-8.42908,1,217
0.489043,0.103951,0,0.499969,1.03997,-4.88946,-7.8389e-24,4.99883,-8.62455,1,248
0.486153,0.116718,0,0.499967,1.16739,-4.8606,-5.2163e-24,4.99882,-8.82139,1,279
0.48293,0.129404,0,0.499967,1.29402,-4.82841,-9.6917e-24,4.99881,-9.01938,1,310
0.479376,0.142002,0,0.499966,1.41978,-4.79294,1.13196e-24,4.99881,-9.21831,1,341
0.475495,0.154503,0,0.499967,1.54455,-4.75421,1.51781e-23,4.99881,-9.41793,1,372
0.471288,0.166898,0,0.499967,1.66828,-4.71222,1.84231e-23,4.99882,-9.61803,1,403
0.466759,0.179178,0,0.499969,1.79087,-4.66703,-9.1537e-25,4.99883,-9.81841,1,434
0.46191,0.191337,0,0.499971,1.91224,-4.61864,-1.15823e-23,4.99885,-10.0188,1,465
0.456745,0.203364,0,0.499973,2.03231,-4.56711,-1.53871e-22,4.99888,-10.2191,1,496
0.451268,0.215252,0,0.499976,2.151,-4.51247,-6.44475e-23,4.99891,-10.419,1,527
0.445482,0.226993,0,0.49998,2.26821,-4.45474,1.54692e-22,4.99895,-10.6182,1,558
0.439391,0.238579,0,0.499984,2.38388,-4.39398,8.95688e-23,4.99899,-10.8167,1,589
0.432999,0.250002,0,0.499989,2.49792,-4.33021,-1.42701e-22,4.99903,-11.0143,1,620
0.426311,0.261253,0,0.499994,2.61027,-4.26349,-1.74523e-22,4.99909,-11.2107,1,651
0.419331,0.272326,0,0.5,2.72084,-4.19386,9.7229e-24,4.99915,-11.4059,1,682
0.412064,0.283213,0,0.500006,2.82956,-4.12138,8.43762e-23,4.99921,-11.5997,1,713
0.404515,0.293906,0,0.500013,2.93634,-4.04607,1.16767e-22,4.99928,-11.7921,1,744
0.396689,0.304399,0,0.500021,3.04112,-3.968,-1.26207e-22,4.99935,-11.983,1,775
0.388592,0.314683,0,0.500029,3.14385,-3.88723,-2.0687e-22,4.99943,-12.1726,1,806
0.380228,0.324752,0,0.500037,3.24442,-3.8038,-3.23609e-22,4.99952,-12.3614,1,837
0.371605,0.334599,0,0.500046,3.34278,-3.71777,-2.6389e-23,4.99961,-12.5506,1,868
0.362726,0.344217,0,0.500056,3.43888,-3.62921,-8.2668e-23,4.9997,-12.7369,1,899
0.3536,0.3536,0,0.500066,3.53532,-3.53532,-4.95392e-22,4.9997,-12.9042,1,930
0,0.5,0,0.5,4.99908,0,1.64054e-24,4.99908,-15.8671,1,1922
0.0130882,0.499823,0,0.499994,4.99732,-0.132982,6.70337e-24,4.99908,-15.8607,1,1923
0.0261673,0.499304,0,0.499989,4.99208,-0.263539,3.14313e-23,4.99903,-15.8372,1,1924
