Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,p,Block Number,Point ID
0.525,0,1,1.12944,0.130206,-8.98551,-6.33698e-20,8.98645,-38.4775,1,442
0.524587,0.0206109,1,1.12943,0.485756,-9.00153,-1.12709e-19,9.01463,-39.229,1,463
0.524587,0.0206109,0,0.524992,0.485756,-9.00153,-1.12709e-19,9.01463,-39.229,1,22
0.525,0,0,0.525,0.130206,-8.98551,-6.33698e-20,8.98645,-38.4775,1,1
0.5,0,1,1.11803,0,-9.99597,4.6932e-23,9.99597,-41.107,1,441
0.499606,0.0196294,1,1.11803,0.39647,-9.98812,1.27304e-22,9.99599,-41.8659,1,462
0.499606,0.0196294,0,0.499991,0.39647,-9.98812,1.27304e-22,9.99599,-41.8659,1,21
0.5,0,0,0.5,0,-9.99597,4.6932e-23,9.99597,-41.107,1,0
0.498443,0.0392283,0,0.499984,0.787662,-9.96476,8.03725e-23,9.99584,-42.6265,1,42
0.498443,0.0392283,1,1.11803,0.787662,-9.96476,8.03725e-23,9.99584,-42.6265,1,483
0.523366,0.0411898,1,1.12943,0.84161,-9.0038,8.51466e-20,9.04305,-39.9795,1,484
0.523366,0.0411898,0,0.524985,0.84161,-9.0038,8.51466e-20,9.04305,-39.9795,1,43
0.496512,0.0587665,0,0.499978,1.17763,-9.92611,0,9.99572,-43.3873,1,63
0.496512,0.0587665,1,1.11802,1.17763,-9.92611,0,9.99572,-43.3873,1,504
0.52134,0.0617049,1,1.12943,1.19835,-8.99271,-1.57224e-19,9.0722,-40.728,1,505
0.52134,0.0617049,0,0.524979,1.19835,-8.99271,-1.57224e-19,9.0722,-40.728,1,64
0.493818,0.0782141,0,0.499973,1.56579,-9.87222,0,9.99562,-44.1449,1,84
0.493818,0.0782141,1,1.11802,1.56579,-9.87222,0,9.99562,-44.1449,1,525
0.51851,0.0821249,1,1.12942,1.5554,-8.96804,-2.0784e-19,9.10193,-41.4722,1,526
0.51851,0.0821249,0,0.524974,1.5554,-8.96804,-2.0784e-19,9.10193,-41.4722,1,85
0.490363,0.097541,0,0.49997,1.95154,-9.80319,0,9.99555,-44.897,1,105
0.490363,0.097541,1,1.11802,1.95154,-9.80319,0,9.99555,-44.897,1,546
0.514883,0.102418,1,1.12942,1.91235,-8.92966,3.17624e-19,9.13214,-42.2104,1,547
0.514883,0.102418,0,0.52497,1.91235,-8.92966,3.17624e-19,9.13214,-42.2104,1,106
0.486153,0.116718,0,0.499967,2.33429,-9.71912,0,9.9955,-45.6416,1,126
0.486153,0.116718,1,1.11802,2.33429,-9.71912,0,9.9955,-45.6416,1,567
0.510463,0.122554,1,1.12942,2.26868,-8.87743,-2.493e-19,9.16273,-42.9407,1,568
0.510463,0.122554,0,0.524968,2.26868,-8.87743,-2.493e-19,9.16273,-42.9407,1,127
0.481194,0.135715,0,0.499966,2.71346,-9.62012,-9.7205e-24,9.99548,-46.377,1,147
0.481194,0.135715,1,1.11802,2.71346,-9.62012,-9.7205e-24,9.99548,-46.377,1,588
0.505256,0.142501,1,1.12942,2.62386,-8.81125,-5.8038e-19,9.19363,-43.6617,1,589
0.505256,0.142501,0,0.524967,2.62386,-8.81125,-5.8038e-19,9.19363,-43.6617,1,148
0.475495,0.154503,0,0.499967,3.08846,-9.50638,-9.7205e-24,9.99549,-47.102,1,168
0.475495,0.154503,1,1.11802,3.08846,-9.50638,-9.7205e-24,9.99549,-47.102,1,609
0.499272,0.162228,1,1.12942,2.97733,-8.73107,3.30768e-19,9.22475,-44.3719,1,610
0.499272,0.162228,0,0.524967,2.97733,-8.73107,3.30768e-19,9.22475,-44.3719,1,169
0.469064,0.173053,0,0.499968,3.45871,-9.37804,0,9.99552,-47.8149,1,189
0.469064,0.173053,1,1.11802,3.45871,-9.37804,0,9.99552,-47.8149,1,630
0.492519,0.181706,1,1.12942,3.32853,-8.63683,4.38571e-19,9.25602,-45.0702,1,631
0.492519,0.181706,0,0.524969,3.32853,-8.63683,4.38571e-19,9.25602,-45.0702,1,190
0.46191,0.191337,0,0.499971,3.82367,-9.23532,0,9.99557,-48.5148,1,210
0.46191,0.191337,1,1.11802,3.82367,-9.23532,0,9.99557,-48.5148,1,651
0.485008,0.200903,1,1.12942,3.67688,-8.52852,2.12905e-19,9.28737,-45.7551,1,652
0.485008,0.200903,0,0.524971,3.67688,-8.52852,2.12905e-19,9.28737,-45.7551,1,211
0.454046,0.209326,0,0.499975,4.18277,-9.07841,-4.62732e-22,9.99565,-49.2006,1,231
0.454046,0.209326,1,1.11802,4.18277,-9.07841,-4.62732e-22,9.99565,-49.2006,1,672
0.476749,0.219792,1,1.12942,4.0218,-8.40618,-7.54717e-19,9.31873,-46.4259,1,673
0.476749,0.219792,0,0.524975,4.0218,-8.40618,-7.54717e-19,9.31873,-46.4259,1,232
0.445482,0.226993,0,0.49998,4.53545,-8.90757,-4.62732e-22,9.99575,-49.8714,1,252
0.445482,0.226993,1,1.11803,4.53545,-8.90757,-4.62732e-22,9.99575,-49.8714,1,693
0.467757,0.238343,1,1.12943,4.36272,-8.26985,1.22178e-18,9.35006,-47.0816,1,694
0.467757,0.238343,0,0.52498,4.36272,-8.26985,1.22178e-18,9.35006,-47.0816,1,253
0.436232,0.244311,0,0.499987,4.88118,-8.72306,0,9.99589,-50.5267,1,273
0.436232,0.244311,1,1.11803,4.88118,-8.72306,0,9.99589,-50.5267,1,714
0.458044,0.256526,1,1.12943,4.69907,-8.11961,1.74006e-18,9.38132,-47.7214,1,715
0.458044,0.256526,0,0.524986,4.69907,-8.11961,1.74006e-18,9.38132,-47.7214,1,274
0.426311,0.261253,0,0.499994,5.21943,-8.52517,0,9.99604,-51.1658,1,294
0.426311,0.261253,1,1.11803,5.21943,-8.52517,0,9.99604,-51.1658,1,735
0.447626,0.274315,1,1.12943,5.03028,-7.95557,-9.63795e-19,9.41249,-48.3446,1,736
0.447626,0.274315,0,0.524994,5.03028,-7.95557,-9.63795e-19,9.41249,-48.3446,1,295
0.415733,0.277794,0,0.500003,5.54969,-8.31417,0,9.99622,-51.7882,1,315
0.415733,0.277794,1,1.11804,5.54969,-8.31417,0,9.99622,-51.7882,1,756
0.436519,0.291682,1,1.12944,5.35584,-7.77786,-2.56442e-19,9.44353,-48.9506,1,757
0.436519,0.291682,0,0.525002,5.35584,-7.77786,-2.56442e-19,9.44353,-48.9506,1,316
0.404515,0.293906,0,0.500013,5.87144,-8.09042,0,9.99643,-52.3944,1,336
0.404515,0.293906,1,1.11804,5.87144,-8.09042,0,9.99643,-52.3944,1,777
0.424739,0.3086,1,1.12944,5.67525,-7.58664,-5.43963e-19,9.47447,-49.5394,1,778
0.424739,0.3086,0,0.525012,5.67525,-7.58664,-5.43963e-19,9.47447,-49.5394,1,337
0.392674,0.309567,0,0.500025,6.18419,-7.85423,-1.10304e-21,9.99666,-52.9872,1,357
0.392674,0.309567,1,1.11805,6.18419,-7.85423,-1.10304e-21,9.99666,-52.9872,1,798
0.412306,0.325043,1,1.12945,5.98819,-7.38218,-5.31067e-19,9.50552,-50.1126,1,799
0.412306,0.325043,0,0.525023,5.98819,-7.38218,-5.31067e-19,9.50552,-50.1126,1,358
0.380228,0.324752,0,0.500037,6.48746,-7.60598,-1.10304e-21,9.99691,-53.5696,1,378
0.380228,0.324752,1,1.11805,6.48746,-7.60598,-1.10304e-21,9.99691,-53.5696,1,819
0.399237,0.340986,1,1.12945,6.29456,-7.16474,3.52002e-21,9.53703,-50.6721,1,820
0.399237,0.340986,0,0.525035,6.29456,-7.16474,3.52002e-21,9.53703,-50.6721,1,379
0.367197,0.339437,0,0.500051,6.7808,-7.34605,0,9.99718,-54.132,1,399
0.367197,0.339437,1,1.11806,6.7808,-7.34605,0,9.99718,-54.132,1,840
0.385553,0.356405,1,1.12946,6.59413,-6.93406,-2.5303e-19,9.56889,-51.2107,1,841
0.385553,0.356405,0,0.525048,6.59413,-6.93406,-2.5303e-19,9.56889,-51.2107,1,400
0.3536,0.3536,0,0.500066,7.06907,-7.06907,0,9.99717,-54.6386,1,420
0.3536,0.3536,1,1.11806,7.06907,-7.06907,0,9.99717,-54.6386,1,861
0.371275,0.371275,1,1.12946,6.8853,-6.68899,0,9.59948,-51.7058,1,862
0.371275,0.371275,0,0.525062,6.8853,-6.68899,0,9.59948,-51.7058,1,421
0.0196294,0.499606,1,1.11803,9.98812,-0.39647,0,9.99599,-59.8454,1,1303
0.0206109,0.524587,1,1.12943,10.0665,-0.259363,1.04758e-19,10.0699,-56.6781,1,1323
