Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,p,Block Number,Point ID
0.5,0,0,0.5,0,-14.994,-6.99989e-23,14.994,-97.0634,1,0
0.499606,0.0196294,0,0.499991,0.594706,-14.9822,7.74141e-23,14.994,-98.1863,1,21
0.498443,0.0392283,0,0.499984,1.18149,-14.9471,-5.5051e-23,14.9938,-99.3037,1,42
0.496512,0.0587665,0,0.499978,1.76645,-14.8891,-1.13078e-22,14.9936,-100.415,1,63
0.493818,0.0782141,0,0.499973,2.34869,-14.8083,5.40255e-24,14.9934,-101.516,1,84
0.490363,0.097541,0,0.49997,2.92731,-14.7048,-1.98563e-23,14.9933,-102.602,1,105
0.486153,0.116718,0,0.499967,3.50144,-14.5786,4.47816e-23,14.9932,-103.669,1,126
0.481194,0.135715,0,0.499966,4.07018,-14.4302,3.84667e-23,14.9932,-104.716,1,147
0.475495,0.154503,0,0.499967,4.63268,-14.2596,3.56818e-23,14.9933,-105.741,1,168
0.469064,0.173053,0,0.499968,5.18807,-14.0671,9.10977e-23,14.9933,-106.741,1,189
0.46191,0.191337,0,0.499971,5.73551,-13.853,8.99731e-23,14.9934,-107.714,1,210
0.454046,0.209326,0,0.499975,6.27415,-13.6177,-5.00291e-22,14.9935,-108.66,1,231
0.445482,0.226993,0,0.49998,6.80317,-13.3614,-5.25381e-22,14.9937,-109.577,1,252
0.436232,0.244311,0,0.499987,7.32177,-13.0846,1.2687e-22,14.9938,-110.466,1,273
0.426311,0.261253,0,0.499994,7.82915,-12.7878,2.22313e-22,14.9941,-111.326,1,294
0.415733,0.277794,0,0.500003,8.32453,-12.4713,1.07445e-21,14.9944,-112.156,1,315
0.404515,0.293906,0,0.500013,8.80715,-12.1357,9.85096e-22,14.9947,-112.958,1,336
0.392674,0.309567,0,0.500025,9.27627,-11.7814,-5.55768e-23,14.995,-113.741,1,357
0.380228,0.324752,0,0.500037,9.73118,-11.4089,1.39348e-21,14.9953,-114.51,1,378
0.367197,0.339437,0,0.500051,10.1712,-11.0191,4.0379e-22,14.9958,-115.243,1,399
0.3536,0.3536,0,0.500066,10.6036,-10.6036,0,14.9958,-115.88,1,420
0,0.5,0,0.5,14.994,0,1.40397e-22,14.994,-122.044,1,882
0.0196294,0.499606,0,0.499991,14.9822,-0.594706,-7.016e-24,14.994,-122.079,1,883
0.0392283,0.498443,0,0.499984,14.9471,-1.18149,5.5051e-23,14.9938,-122.032,1,884
0.0587665,0.496512,0,0.499978,14.8891,-1.76645,1.13078e-22,14.9936,-121.942,1,885
0.0782141,0.493818,0,0.499973,14.8083,-2.34869,-5.40255e-24,14.9934,-121.824,1,886
0.097541,0.490363,0,0.49997,14.7048,-2.92731,1.98563e-23,14.9933,-121.676,1,887
0.116718,0.486153,0,0.499967,14.5786,-3.50144,-4.47816e-23,14.9932,-121.495,1,888
0.135715,0.481194,0,0.499966,14.4302,-4.07018,-5.30475e-23,14.9932,-121.28,1,889
0.154503,0.475495,0,0.499967,14.2596,-4.63268,-5.02626e-23,14.9933,-121.032,1,890
0.173053,0.469064,0,0.499968,14.0671,-5.18807,-9.10977e-23,14.9933,-120.753,1,891
0.191337,0.46191,0,0.499971,13.853,-5.73551,-8.99731e-23,14.9934,-120.443,1,892
0.209326,0.454046,0,0.499975,13.6177,-6.27415,-1.93807e-22,14.9935,-120.103,1,893
