Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,p,Block Number,Point ID
-0.490363,0.097541,0,0.49997,1.95154,9.80319,0,9.99555,-42.1111,1,2687
-0.486153,0.116718,0,0.499967,2.33429,9.71912,0,9.9955,-42.8996,1,2708
-0.481194,0.135715,0,0.499966,2.71346,9.62012,-9.7205e-24,9.99548,-43.6872,1,2729
-0.475495,0.154503,0,0.499967,3.08846,9.50638,-9.7205e-24,9.99549,-44.4724,1,2750
-0.469064,0.173053,0,0.499968,3.45871,9.37804,0,9.99552,-45.2537,1,2771
-0.46191,0.191337,0,0.499971,3.82367,9.23532,0,9.99557,-46.0296,1,2792
-0.454046,0.209326,0,0.499975,4.18277,9.07841,-4.62732e-22,9.99565,-46.7987,1,2813
-0.445482,0.226993,0,0.49998,4.53545,8.90757,-4.62732e-22,9.99575,-47.5594,1,2834
-0.436232,0.244311,0,0.499987,4.88118,8.72306,0,9.99589,-48.3107,1,2855
-0.426311,0.261253,0,0.499994,5.21943,8.52517,0,9.99604,-49.0512,1,2876
-0.415733,0.277794,0,0.500003,5.54969,8.31417,0,9.99622,-49.7798,1,2897
-0.404515,0.293906,0,0.500013,5.87144,8.09042,0,9.99643,-50.4958,1,2918
-0.392674,0.309567,0,0.500025,6.18419,7.85423,-1.10304e-21,9.99666,-51.1987,1,2939
-0.380228,0.324752,0,0.500037,6.48746,7.60598,-1.10304e-21,9.99691,-51.8894,1,2960
-0.367197,0.339437,0,0.500051,6.7808,7.34605,0,9.99718,-52.5694,1,2981
-0.3536,-0.3536,0,0.500066,-7.06907,7.06907,0,9.99717,-25.1061,1,3422
-0.367197,-0.339437,0,0.500051,-6.7808,7.34605,0,9.99718,-25.5936,1,3443
-0.380228,-0.324752,0,0.500037,-6.48746,7.60598,-1.10304e-21,9.99691,-26.0727,1,3464
-0.392674,-0.309567,0,0.500025,-6.18419,7.85423,-1.10304e-21,9.99666,-26.5752,1,3485
-0.404515,-0.293906,0,0.500013,-5.87144,8.09042,0,9.99643,-27.1087,1,3506
-0.415733,-0.277794,0,0.500003,-5.54969,8.31417,0,9.99622,-27.6688,1,3527
-0.426311,-0.261253,0,0.499994,-5.21943,8.52517,0,9.99604,-28.2521,1,3548
-0.436232,-0.244311,0,0.499987,-4.88118,8.72306,0,9.99589,-28.8564,1,3569
