Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,p,Block Number,Point ID
0.5,0,0,0.5,0,-4.99799,-2.33329e-23,4.99799,-7.00109,1,0
0.499606,0.0196294,0,0.499991,0.198235,-4.99406,2.58047e-23,4.99799,-7.2683,1,21
0.498443,0.0392283,0,0.499984,0.393831,-4.98238,-1.83503e-23,4.99792,-7.54401,1,42
0.496512,0.0587665,0,0.499978,0.588817,-4.96305,-3.76927e-23,4.99786,-7.82589,1,63
0.493818,0.0782141,0,0.499973,0.782896,-4.93611,1.80082e-24,4.99781,-8.11273,1,84
0.490363,0.097541,0,0.49997,0.97577,-4.9016,-6.6188e-24,4.99778,-8.40361,1,105
0.486153,0.116718,0,0.499967,1.16715,-4.85956,1.49271e-23,4.99775,-8.69773,1,126
0.481194,0.135715,0,0.499966,1.35672,-4.81007,1.28222e-23,4.99774,-8.99433,1,147
0.475495,0.154503,0,0.499967,1.54422,-4.75319,1.18939e-23,4.99774,-9.29265,1,168
0.469064,0.173053,0,0.499968,1.72936,-4.68902,3.03659e-23,4.99776,-9.59195,1,189
0.46191,0.191337,0,0.499971,1.91183,-4.61766,2.9991e-23,4.99779,-9.89147,1,210
0.454046,0.209326,0,0.499975,2.09138,-4.53921,-1.66764e-22,4.99783,-10.1905,1,231
0.445482,0.226993,0,0.49998,2.26772,-4.45378,-1.75127e-22,4.99788,-10.4885,1,252
0.436232,0.244311,0,0.499987,2.44059,-4.36153,4.22899e-23,4.99794,-10.7847,1,273
0.426311,0.261253,0,0.499994,2.60971,-4.26258,7.41045e-23,4.99802,-11.0786,1,294
0.415733,0.277794,0,0.500003,2.77484,-4.15708,3.58151e-22,4.99811,-11.3694,1,315
0.404515,0.293906,0,0.500013,2.93571,-4.04521,3.28366e-22,4.99821,-11.6569,1,336
0.392674,0.309567,0,0.500025,3.09209,-3.92711,-1.85257e-23,4.99832,-11.9412,1,357
0.380228,0.324752,0,0.500037,3.24373,-3.80299,4.64495e-22,4.99845,-12.2227,1,378
0.367197,0.339437,0,0.500051,3.3904,-3.67302,1.34598e-22,4.99859,-12.4984,1,399
0.3536,0.3536,0,0.500066,3.53453,-3.53453,0,4.99858,-12.7556,1,420
0,0.5,0,0.5,4.99799,0,4.67989e-23,4.99799,-15.7199,1,882
0.0196294,0.499606,0,0.499991,4.99406,-0.198235,-2.33875e-24,4.99799,-15.7024,1,883
0.0392283,0.498443,0,0.499984,4.98238,-0.393831,1.83503e-23,4.99792,-15.6619,1,884
0.0587665,0.496512,0,0.499978,4.96305,-0.588817,3.76927e-23,4.99786,-15.6063,1,885
0.0782141,0.493818,0,0.499973,4.93611,-0.782896,-1.80082e-24,4.99781,-15.5374,1,886
0.097541,0.490363,0,0.49997,4.9016,-0.97577,6.6188e-24,4.99778,-15.455,1,887
0.116718,0.486153,0,0.499967,4.85956,-1.16715,-1.49271e-23,4.99775,-15.3586,1,888
0.135715,0.481194,0,0.499966,4.81007,-1.35672,-1.76824e-23,4.99774,-15.2484,1,889
0.154503,0.475495,0,0.499967,4.75319,-1.54422,-1.67542e-23,4.99774,-15.125,1,890
0.173053,0.469064,0,0.499968,4.68902,-1.72936,-3.03659e-23,4.99776,-14.9883,1,891
0.191337,0.46191,0,0.499971,4.61766,-1.91183,-2.9991e-23,4.99779,-14.8389,1,892
0.209326,0.454046,0,0.499975,4.53921,-2.09138,-6.46022e-23,4.99783,-14.677,1,893
