Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,p,Block Number,Point ID
0.5,0,0,0.5,0,-19.9685,1.7323e-23,19.9685,-289.908,1,0
0.498443,0.0392283,0,0.499984,1.5735,-19.9066,6.9462e-23,19.9686,-297.01,1,11
0.493818,0.0782141,0,0.499973,3.12797,-19.7217,5.90142e-23,19.9682,-303.781,1,22
0.486153,0.116718,0,0.499967,4.6632,-19.4158,3.3796e-23,19.9679,-310.104,1,33
0.475495,0.154503,0,0.499967,6.16979,-18.9908,-1.55372e-22,19.9679,-315.863,1,44
0.46191,0.191337,0,0.499971,7.63853,-18.4493,-1.25084e-22,19.9681,-320.962,1,55
0.445482,0.226993,0,0.49998,9.06044,-17.7946,8.77121e-22,19.9685,-325.353,1,66
0.426311,0.261253,0,0.499994,10.4268,-17.0307,3.61233e-21,19.969,-329.052,1,77
0.404515,0.293906,0,0.500013,11.7294,-16.1622,1.04145e-21,19.9698,-332.129,1,88
0.380228,0.324752,0,0.500037,12.96,-15.1944,-3.55769e-21,19.9708,-334.672,1,99
0.3536,0.3536,0,0.500066,14.1214,-14.1214,0,19.9707,-336.756,1,110
0,0.5,0,0.5,19.9685,0,-1.7323e-23,19.9685,-350.053,1,242
0.0392283,0.498443,0,0.499984,19.9066,-1.5735,-6.9462e-23,19.9686,-349.706,1,243
0.0782141,0.493818,0,0.499973,19.7217,-3.12797,-5.90142e-23,19.9682,-348.878,1,244
0.116718,0.486153,0,0.499967,19.4158,-4.6632,3.86716e-23,19.9679,-347.714,1,245
0.154503,0.475495,0,0.499967,18.9908,-6.16979,-5.1757e-22,19.9679,-346.337,1,246
0.191337,0.46191,0,0.499971,18.4493,-7.63853,-6.20326e-22,19.9681,-344.841,1,247
0.226993,0.445482,0,0.49998,17.7946,-9.06044,-8.77121e-22,19.9685,-343.294,1,248
0.261253,0.426311,0,0.499994,17.0307,-10.4268,-2.45045e-22,19.969,-341.73,1,249
0.293906,0.404515,0,0.500013,16.1622,-11.7294,-1.88111e-21,19.9698,-340.152,1,250
0.324752,0.380228,0,0.500037,15.1944,-12.96,-6.4924e-22,19.9708,-338.525,1,251
-0.3536,0.3536,0,0.500066,14.1214,14.1214,0,19.9707,-316.268,1,462
-0.324752,0.380228,0,0.500037,15.1944,12.96,-6.4924e-22,19.9708,-322.482,1,463
-0.293906,0.404515,0,0.500013,16.1622,11.7294,-1.88111e-21,19.9698,-328.243,1,464
-0.261253,0.426311,0,0.499994,17.0307,10.4268,-2.45045e-22,19.969,-333.47,1,465
-0.226993,0.445482,0,0.49998,17.7946,9.06044,-8.77121e-22,19.9685,-338.07,1,466
-0.191337,0.46191,0,0.499971,18.4493,7.63853,-6.20326e-22,19.9681,-341.955,1,467
-0.154503,0.475495,0,0.499967,18.9908,6.16979,-5.1757e-22,19.9679,-345.065,1,468
-0.116718,0.486153,0,0.499967,19.4158,4.6632,3.86716e-23,19.9679,-347.386,1,469
-0.0782141,0.493818,0,0.499973,19.7217,3.12797,-5.90142e-23,19.9682,-348.952,1,470
-0.0392283,0.498443,0,0.499984,19.9066,1.5735,-6.9462e-23,19.9686,-349.82,1,471
-0.5,0,0,0.5,0,19.9685,1.7323e-23,19.9685,-253.535,1,692
-0.498443,0.0392283,0,0.499984,1.5735,19.9066,6.9462e-23,19.9686,-259.387,1,703
-0.493818,0.0782141,0,0.499973,3.12797,19.7217,5.90142e-23,19.9682,-265.263,1,714
-0.486153,0.116718,0,0.499967,4.6632,19.4158,3.3796e-23,19.9679,-271.227,1,725
-0.475495,0.154503,0,0.499967,6.16979,18.9908,-1.55372e-22,19.9679,-277.326,1,736
-0.46191,0.191337,0,0.499971,7.63853,18.4493,-1.25084e-22,19.9681,-283.58,1,747
-0.445482,0.226993,0,0.49998,9.06044,17.7946,8.77121e-22,19.9685,-289.986,1,758
-0.426311,0.261253,0,0.499994,10.4268,17.0307,2.45045e-22,19.969,-296.521,1,769
-0.404515,0.293906,0,0.500013,11.7294,16.1622,-2.32583e-21,19.9698,-303.138,1,780
-0.380228,0.324752,0,0.500037,12.96,15.1944,-3.55769e-21,19.9708,-309.759,1,791
-0.3536,-0.3536,0,0.500066,-14.1214,14.1214,0,19.9707,-198.738,1,912
-0.380228,-0.324752,0,0.500037,-12.96,15.1944,-3.55769e-21,19.9708,-203.254,1,923
-0.404515,-0.293906,0,0.500013,-11.7294,16.1622,1.04145e-21,19.9698,-208.188,1,934
