Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,p,Block Number,Point ID
0.5,0,0,0.5,0,-19.9919,-9.33319e-23,19.9919,-178.385,1,0
0.499606,0.0196294,0,0.499991,0.792939,-19.9762,1.03219e-22,19.9919,-179.913,1,21
0.498443,0.0392283,0,0.499984,1.57533,-19.9295,-7.3401e-23,19.9917,-181.425,1,42
0.496512,0.0587665,0,0.499978,2.35527,-19.8522,-1.50771e-22,19.9914,-182.925,1,63
0.493818,0.0782141,0,0.499973,3.13158,-19.7444,7.20335e-24,19.9913,-184.405,1,84
0.490363,0.097541,0,0.49997,3.90307,-19.6064,-2.64752e-23,19.9911,-185.859,1,105
0.486153,0.116718,0,0.499967,4.66858,-19.4383,5.97087e-23,19.991,-187.281,1,126
0.481194,0.135715,0,0.499966,5.42691,-19.2402,5.1289e-23,19.991,-188.668,1,147
0.475495,0.154503,0,0.499967,6.17691,-19.0128,4.75759e-23,19.991,-190.018,1,168
0.469064,0.173053,0,0.499968,6.91743,-18.7561,1.21464e-22,19.9911,-191.325,1,189
0.46191,0.191337,0,0.499971,7.64735,-18.4706,1.19965e-22,19.9912,-192.589,1,210
0.454046,0.209326,0,0.499975,8.36553,-18.1569,-6.67054e-22,19.9913,-193.807,1,231
0.445482,0.226993,0,0.49998,9.0709,-17.8152,-7.00506e-22,19.9915,-194.979,1,252
0.436232,0.244311,0,0.499987,9.76237,-17.4461,1.6916e-22,19.9918,-196.104,1,273
0.426311,0.261253,0,0.499994,10.4389,-17.0504,2.96418e-22,19.9921,-197.181,1,294
0.415733,0.277794,0,0.500003,11.0993,-16.6283,1.43261e-21,19.9924,-198.211,1,315
0.404515,0.293906,0,0.500013,11.7428,-16.1809,1.31346e-21,19.9929,-199.201,1,336
0.392674,0.309567,0,0.500025,12.3684,-15.7085,-7.41026e-23,19.9933,-200.165,1,357
0.380228,0.324752,0,0.500037,12.9749,-15.212,1.85798e-21,19.9938,-201.111,1,378
0.367197,0.339437,0,0.500051,13.5616,-14.6921,5.3839e-22,19.9943,-202.001,1,399
0.3536,0.3536,0,0.500066,14.1381,-14.1381,0,19.9943,-202.741,1,420
0,0.5,0,0.5,19.9919,0,1.87196e-22,19.9919,-209.682,1,882
0.0196294,0.499606,0,0.499991,19.9762,-0.792939,-9.355e-24,19.9919,-209.742,1,883
0.0392283,0.498443,0,0.499984,19.9295,-1.57533,7.3401e-23,19.9917,-209.685,1,884
0.0587665,0.496512,0,0.499978,19.8522,-2.35527,1.50771e-22,19.9914,-209.571,1,885
0.0782141,0.493818,0,0.499973,19.7444,-3.13158,-7.20335e-24,19.9913,-209.427,1,886
0.097541,0.490363,0,0.49997,19.6064,-3.90307,2.64752e-23,19.9911,-209.253,1,887
0.116718,0.486153,0,0.499967,19.4383,-4.66858,-5.97087e-23,19.991,-209.042,1,888
0.135715,0.481194,0,0.499966,19.2402,-5.42691,-7.073e-23,19.991,-208.792,1,889
0.154503,0.475495,0,0.499967,19.0128,-6.17691,-6.70169e-23,19.991,-208.504,1,890
0.173053,0.469064,0,0.499968,18.7561,-6.91743,-1.21464e-22,19.9911,-208.181,1,891
0.191337,0.46191,0,0.499971,18.4706,-7.64735,-1.19965e-22,19.9912,-207.826,1,892
0.209326,0.454046,0,0.499975,18.1569,-8.36553,-2.58409e-22,19.9913,-207.438,1,893
0.226993,0.445482,0,0.49998,17.8152,-9.0709,-2.24956e-22,19.9915,-207.02,1,894
0.244311,0.436232,0,0.499987,17.4461,-9.76237,-1.6916e-22,19.9918,-206.572,1,895
0.261253,0.426311,0,0.499994,17.0504,-10.4389,-2.96418e-22,19.9921,-206.096,1,896
0.277794,0.415733,0,0.500003,16.6283,-11.0993,-1.43261e-21,19.9924,-205.593,1,897
0.293906,0.404515,0,0.500013,16.1809,-11.7428,-1.31346e-21,19.9929,-205.065,1,898
0.309567,0.392674,0,0.500025,15.7085,-12.3684,-2.13197e-21,19.9933,-204.513,1,899
