Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,p,Block Number,Point ID
0.5,0,0,0.5,0,-9.99817,3.27549e-23,9.99817,-41.2037,1,0
0.499823,0.0130882,0,0.499994,0.265963,-9.99463,4.6112e-24,9.99817,-41.678,1,31
0.499304,0.0261673,0,0.499989,0.52708,-9.98417,-4.28125e-24,9.99807,-42.16,1,62
0.498443,0.0392283,0,0.499984,0.787831,-9.96688,6.9714e-23,9.99797,-42.6459,1,93
0.497241,0.0522624,0,0.49998,1.04804,-9.94281,1.40842e-22,9.99789,-43.1328,1,124
0.495699,0.0652606,0,0.499976,1.30753,-9.91195,1.29606e-22,9.99782,-43.6193,1,155
0.493818,0.0782141,0,0.499973,1.56613,-9.87433,7.4222e-23,9.99776,-44.1045,1,186
0.491598,0.091114,0,0.499971,1.82365,-9.82998,-5.49415e-24,9.99771,-44.5876,1,217
0.489043,0.103951,0,0.499969,2.07993,-9.77892,-1.56778e-23,9.99767,-45.0682,1,248
0.486153,0.116718,0,0.499967,2.33478,-9.7212,-1.04326e-23,9.99764,-45.5457,1,279
0.48293,0.129404,0,0.499967,2.58805,-9.65684,-1.93834e-23,9.99762,-46.0198,1,310
0.479376,0.142002,0,0.499966,2.83955,-9.58589,2.26392e-24,9.99762,-46.49,1,341
0.475495,0.154503,0,0.499967,3.08912,-9.50841,3.03561e-23,9.99762,-46.9559,1,372
0.471288,0.166898,0,0.499967,3.33657,-9.42444,3.68461e-23,9.99764,-47.4173,1,403
0.466759,0.179178,0,0.499969,3.58175,-9.33405,-1.83075e-24,9.99767,-47.8738,1,434
0.46191,0.191337,0,0.499971,3.82449,-9.23728,-2.31646e-23,9.99771,-48.3251,1,465
0.456745,0.203364,0,0.499973,4.06462,-9.13422,-3.07743e-22,9.99776,-48.7708,1,496
0.451268,0.215252,0,0.499976,4.30198,-9.02493,-1.28895e-22,9.99782,-49.2107,1,527
0.445482,0.226993,0,0.49998,4.53642,-8.90948,3.09384e-22,9.99789,-49.6447,1,558
0.439391,0.238579,0,0.499984,4.76776,-8.78794,1.79138e-22,9.99798,-50.0725,1,589
0.432999,0.250002,0,0.499989,4.99585,-8.66042,-2.85401e-22,9.99807,-50.4939,1,620
0.426311,0.261253,0,0.499994,5.22054,-8.52699,-3.49046e-22,9.99818,-50.909,1,651
0.419331,0.272326,0,0.5,5.44168,-8.38773,1.94458e-23,9.99829,-51.3176,1,682
0.412064,0.283213,0,0.500006,5.65911,-8.24275,1.68752e-22,9.99842,-51.72,1,713
0.404515,0.293906,0,0.500013,5.87268,-8.09214,2.33534e-22,9.99856,-52.1162,1,744
0.396689,0.304399,0,0.500021,6.08226,-7.93601,-2.52414e-22,9.99871,-52.5065,1,775
0.388592,0.314683,0,0.500029,6.28769,-7.77446,-4.13739e-22,9.99887,-52.8916,1,806
0.380228,0.324752,0,0.500037,6.48884,-7.6076,-6.4722e-22,9.99903,-53.2743,1,837
0.371605,0.334599,0,0.500046,6.68558,-7.43555,-5.278e-23,9.99922,-53.6585,1,868
0.362726,0.344217,0,0.500056,6.87775,-7.25842,-1.65335e-22,9.99941,-54.0339,1,899
0.3536,0.3536,0,0.500066,7.07064,-7.07064,-9.90783e-22,9.9994,-54.3574,1,930
0,0.5,0,0.5,9.99817,0,3.28109e-24,9.99817,-59.4091,1,1922
0.0130882,0.499823,0,0.499994,9.99463,-0.265963,1.34068e-23,9.99817,-59.425,1,1923
0.0261673,0.499304,0,0.499989,9.98417,-0.52708,6.28627e-23,9.99807,-59.4005,1,1924
0.0392283,0.498443,0,0.499984,9.96688,-0.787831,9.24156e-23,9.99797,-59.362,1,1925
0.0522624,0.497241,0,0.49998,9.94281,-1.04804,-3.72944e-23,9.99789,-59.3164,1,1926
0.0652606,0.495699,0,0.499976,9.91195,-1.30753,-5.34902e-23,9.99782,-59.2613,1,1927
0.0782141,0.493818,0,0.499973,9.87433,-1.56613,1.8937e-24,9.99776,-59.1951,1,1928
0.091114,0.491598,0,0.499971,9.82998,-1.82365,-9.14615e-23,9.99771,-59.1174,1,1929
0.103951,0.489043,0,0.499969,9.77892,-2.07993,-1.20695e-23,9.99767,-59.0281,1,1930
