Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,p,Block Number,Point ID
0.5,0,0,0.5,0,-4.99213,4.33076e-24,4.99213,-6.55834,1,0
0.498443,0.0392283,0,0.499984,0.393375,-4.97663,1.73655e-23,4.99216,-7.09854,1,11
0.493818,0.0782141,0,0.499973,0.781992,-4.93042,1.47535e-23,4.99205,-7.65866,1,22
0.486153,0.116718,0,0.499967,1.1658,-4.85396,8.44899e-24,4.99199,-8.2332,1,33
0.475495,0.154503,0,0.499967,1.54244,-4.74771,-3.8843e-23,4.99198,-8.81614,1,44
0.46191,0.191337,0,0.499971,1.90964,-4.61234,-3.12709e-23,4.99203,-9.40145,1,55
0.445482,0.226993,0,0.49998,2.26512,-4.44866,2.1928e-22,4.99212,-9.98331,1,66
0.426311,0.261253,0,0.499994,2.60671,-4.25766,9.03083e-22,4.99226,-10.5567,1,77
0.404515,0.293906,0,0.500013,2.93233,-4.04054,2.60363e-22,4.99245,-11.1171,1,88
0.380228,0.324752,0,0.500037,3.24,-3.7986,-8.89424e-22,4.99269,-11.6583,1,99
0.3536,0.3536,0,0.500066,3.53035,-3.53035,0,4.99267,-12.1684,1,110
0,0.5,0,0.5,4.99213,0,-4.33076e-24,4.99213,-15.0886,1,242
0.0392283,0.498443,0,0.499984,4.97663,-0.393375,-1.73655e-23,4.99216,-15.0292,1,243
0.0782141,0.493818,0,0.499973,4.93042,-0.781992,-1.47535e-23,4.99205,-14.9054,1,244
0.116718,0.486153,0,0.499967,4.85396,-1.1658,9.66791e-24,4.99199,-14.7248,1,245
0.154503,0.475495,0,0.499967,4.74771,-1.54244,-1.29393e-22,4.99198,-14.4913,1,246
0.191337,0.46191,0,0.499971,4.61234,-1.90964,-1.55082e-22,4.99203,-14.2077,1,247
0.226993,0.445482,0,0.49998,4.44866,-2.26512,-2.1928e-22,4.99212,-13.8772,1,248
0.261253,0.426311,0,0.499994,4.25766,-2.60671,-6.12615e-23,4.99226,-13.5037,1,249
0.293906,0.404515,0,0.500013,4.04054,-2.93233,-4.70279e-22,4.99245,-13.0915,1,250
0.324752,0.380228,0,0.500037,3.7986,-3.24,-1.62313e-22,4.99269,-12.6451,1,251
-0.3536,0.3536,0,0.500066,3.53035,3.53035,0,4.99267,-12.5149,1,462
-0.324752,0.380228,0,0.500037,3.7986,3.24,-1.62313e-22,4.99269,-12.996,1,463
-0.293906,0.404515,0,0.500013,4.04054,2.93233,-4.70279e-22,4.99245,-13.4315,1,464
-0.261253,0.426311,0,0.499994,4.25766,2.60671,-6.12615e-23,4.99226,-13.8242,1,465
-0.226993,0.445482,0,0.49998,4.44866,2.26512,-2.1928e-22,4.99212,-14.1714,1,466
-0.191337,0.46191,0,0.499971,4.61234,1.90964,-1.55082e-22,4.99203,-14.468,1,467
-0.154503,0.475495,0,0.499967,4.74771,1.54244,-1.29393e-22,4.99198,-14.7097,1,468
-0.116718,0.486153,0,0.499967,4.85396,1.1658,9.66791e-24,4.99199,-14.8939,1,469
-0.0782141,0.493818,0,0.499973,4.93042,0.781992,-1.47535e-23,4.99205,-15.0188,1,470
-0.0392283,0.498443,0,0.499984,4.97663,0.393375,-1.73655e-23,4.99216,-15.0837,1,471
-0.5,0,0,0.5,0,4.99213,4.33076e-24,4.99213,-6.99915,1,692
-0.498443,0.0392283,0,0.499984,0.393375,4.97663,1.73655e-23,4.99216,-7.52509,1,703
-0.493818,0.0782141,0,0.499973,0.781992,4.93042,1.47535e-23,4.99205,-8.06507,1,714
-0.486153,0.116718,0,0.499967,1.1658,4.85396,8.44899e-24,4.99199,-8.61969,1,725
-0.475495,0.154503,0,0.499967,1.54244,4.74771,-3.8843e-23,4.99198,-9.1857,1,736
-0.46191,0.191337,0,0.499971,1.90964,4.61234,-3.12709e-23,4.99203,-9.75787,1,747
-0.445482,0.226993,0,0.49998,2.26512,4.44866,2.1928e-22,4.99212,-10.3306,1,758
-0.426311,0.261253,0,0.499994,2.60671,4.25766,6.12615e-23,4.99226,-10.8983,1,769
-0.404515,0.293906,0,0.500013,2.93233,4.04054,-5.81457e-22,4.99245,-11.4555,1,780
-0.380228,0.324752,0,0.500037,3.24,3.7986,-8.89424e-22,4.99269,-11.9965,1,791
-0.3536,-0.3536,0,0.500066,-3.53035,3.53035,0,4.99267,-3.26279,1,912
-0.380228,-0.324752,0,0.500037,-3.24,3.7986,-8.89424e-22,4.99269,-3.5004,1,923
-0.404515,-0.293906,0,0.500013,-2.93233,4.04054,2.60363e-22,4.99245,-3.76224,1,934
-0.426311,-0.261253,0,0.499994,-2.60671,4.25766,9.03083e-22,4.99226,-4.05572,1,945
-0.445482,-0.226993,0,0.49998,-2.26512,4.44866,2.1928e-22,4.99212,-4.38276,1,956
-0.46191,-0.191337,0,0.499971,-1.90964,4.61234,-3.12709e-23,4.99203,-4.74271,1,967
-0.475495,-0.154503,0,0.499967,-1.54244,4.74771,-3.8843e-23,4.99198,-5.13468,1,978
-0.486153,-0.116718,0,0.499967,-1.1658,4.85396,8.44899e-24,4.99199,-5.5577,1,989
-0.493818,-0.0782141,0,0.499973,-0.781992,4.93042,1.47535e-23,4.99205,-6.0106,1,1000
-0.498443,-0.0392283,0,0.499984,-0.393375,4.97663,1.73655e-23,4.99216,-6.49185,1,1011
-0.324752,-0.380228,0,0.500037,-3.7986,3.24,-1.62313e-22,4.99269,-3.04991,1,1222
-0.293906,-0.404515,0,0.500013,-4.04054,2.93233,-4.70279e-22,4.99245,-2.86694,1,1223
-0.261253,-0.426311,0,0.499994,-4.25766,2.60671,-6.12615e-23,4.99226,-2.71197,1,1224
-0.226993,-0.445482,0,0.49998,-4.44866,2.26512,-2.1928e-22,4.99212,-2.58241,1,1225
-0.191337,-0.46191,0,0.499971,-4.61234,1.90964,-1.55082e-22,4.99203,-2.47571,1,1226
-0.154503,-0.475495,0,0.499967,-4.74771,1.54244,-1.29393e-22,4.99198,-2.38947,1,1227
-0.116718,-0.486153,0,0.499967,-4.85396,1.1658,9.66791e-24,4.99199,-2.32171,1,1228
-0.0782141,-0.493818,0,0.499973,-4.93042,0.781992,-1.47535e-23,4.99205,-2.27085,1,1229
-0.0392283,-0.498443,0,0.499984,-4.97663,0.393375,-1.73655e-23,4.99216,-2.23466,1,1230
0,-0.5,0,0.5,-4.99213,0,-4.33076e-24,4.99213,-2.20845,1,1231
0.0392283,-0.498443,0,0.499984,-4.97663,-0.393375,-1.73655e-23,4.99216,-2.1925,1,1442
0.0782141,-0.493818,0,0.499973,-4.93042,-0.781992,-1.47535e-23,4.99205,-2.19052,1,1443
