Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,p,Block Number,Point ID
0.5,0,0,0.5,0,-0.499908,1.63774e-24,0.499908,-0.386509,1,0
0.499823,0.0130882,0,0.499994,0.0132982,-0.499731,2.3056e-25,0.499908,-0.389357,1,31
0.499304,0.0261673,0,0.499989,0.0263539,-0.499208,-2.14059e-25,0.499903,-0.393254,1,62
0.498443,0.0392283,0,0.499984,0.0393915,-0.498344,3.48571e-24,0.499898,-0.397618,1,93
0.497241,0.0522624,0,0.49998,0.052402,-0.49714,7.04214e-24,0.499895,-0.402369,1,124
0.495699,0.0652606,0,0.499976,0.0653765,-0.495597,6.48031e-24,0.499891,-0.407548,1,155
0.493818,0.0782141,0,0.499973,0.0783063,-0.493716,3.71111e-24,0.499888,-0.41318,1,186
0.491598,0.091114,0,0.499971,0.0911825,-0.491499,-2.74705e-25,0.499886,-0.419284,1,217
0.489043,0.103951,0,0.499969,0.103997,-0.488946,-7.8389e-25,0.499883,-0.425872,1,248
0.486153,0.116718,0,0.499967,0.116739,-0.486059,-5.2163e-25,0.499882,-0.432959,1,279
0.48293,0.129404,0,0.499967,0.129403,-0.482841,-9.69171e-25,0.499881,-0.440556,1,310
0.479376,0.142002,0,0.499966,0.141977,-0.479294,1.13196e-25,0.499881,-0.448676,1,341
0.475495,0.154503,0,0.499967,0.154455,-0.47542,1.51781e-24,0.499881,-0.457328,1,372
0.471288,0.166898,0,0.499967,0.166828,-0.471222,1.8423e-24,0.499882,-0.466525,1,403
0.466759,0.179178,0,0.499969,0.179087,-0.466703,-9.1537e-26,0.499883,-0.476278,1,434
0.46191,0.191337,0,0.499971,0.191224,-0.461865,-1.15823e-24,0.499885,-0.486596,1,465
0.456745,0.203364,0,0.499973,0.203231,-0.456711,-1.53872e-23,0.499888,-0.497487,1,496
0.451268,0.215252,0,0.499976,0.215099,-0.451247,-6.44475e-24,0.499891,-0.508962,1,527
0.445482,0.226993,0,0.49998,0.226821,-0.445474,1.54692e-23,0.499895,-0.521026,1,558
0.439391,0.238579,0,0.499984,0.238388,-0.439398,8.95688e-24,0.499899,-0.533684,1,589
0.432999,0.250002,0,0.499989,0.249792,-0.433021,-1.42701e-23,0.499903,-0.54694,1,620
0.426311,0.261253,0,0.499994,0.261027,-0.426349,-1.74523e-23,0.499909,-0.560794,1,651
0.419331,0.272326,0,0.5,0.272084,-0.419387,9.7229e-25,0.499915,-0.575245,1,682
0.412064,0.283213,0,0.500006,0.282955,-0.412138,8.43762e-24,0.499921,-0.590288,1,713
0.404515,0.293906,0,0.500013,0.293634,-0.404607,1.16767e-23,0.499928,-0.605918,1,744
0.396689,0.304399,0,0.500021,0.304112,-0.396801,-1.26207e-23,0.499935,-0.622127,1,775
0.388592,0.314683,0,0.500029,0.314384,-0.388723,-2.0687e-23,0.499943,-0.638911,1,806
0.380228,0.324752,0,0.500037,0.324442,-0.38038,-3.23609e-23,0.499952,-0.656278,1,837
0.371605,0.334599,0,0.500046,0.334279,-0.371778,-2.6389e-24,0.499961,-0.674271,1,868
0.362726,0.344217,0,0.500056,0.343888,-0.362921,-8.2668e-24,0.49997,-0.69268,1,899
0.3536,0.3536,0,0.500066,0.353532,-0.353532,-4.95392e-23,0.49997,-0.710356,1,930
0,0.5,0,0.5,0.499908,0,1.64054e-25,0.499908,-1.17558,1,1922
0.0130882,0.499823,0,0.499994,0.499731,-0.0132982,6.70337e-25,0.499908,-1.17439,1,1923
0.0261673,0.499304,0,0.499989,0.499208,-0.0263539,3.14313e-24,0.499903,-1.17057,1,1924
0.0392283,0.498443,0,0.499984,0.498344,-0.0393915,4.62077e-24,0.499898,-1.16506,1,1925
0.0522624,0.497241,0,0.49998,0.49714,-0.052402,-1.86473e-24,0.499895,-1.1581,1,1926
0.0652606,0.495699,0,0.499976,0.495597,-0.0653765,-2.67452e-24,0.499891,-1.14973,1,1927
0.0782141,0.493818,0,0.499973,0.493716,-0.0783063,9.468e-26,0.499888,-1.14002,1,1928
0.091114,0.491598,0,0.499971,0.491499,-0.0911825,-4.57309e-24,0.499886,-1.12903,1,1929
0.103951,0.489043,0,0.499969,0.488946,-0.103997,-6.03485e-25,0.499883,-1.11685,1,1930
0.116718,0.486153,0,0.499967,0.486059,-0.116739,1.91162e-24,0.499882,-1.10357,1,1931
0.129404,0.48293,0,0.499967,0.482841,-0.129403,-1.10126e-24,0.499881,-1.08927,1,1932
0.142002,0.479376,0,0.499966,0.479294,-0.141977,-1.13196e-25,0.499881,-1.07402,1,1933
0.154503,0.475495,0,0.499967,0.47542,-0.154455,5.85717e-25,0.499881,-1.05793,1,1934
0.166898,0.471288,0,0.499967,0.471222,-0.166828,2.61219e-25,0.499882,-1.04106,1,1935
0.179178,0.466759,0,0.499969,0.466703,-0.179087,9.1537e-26,0.499883,-1.02352,1,1936
0.191337,0.46191,0,0.499971,0.461865,-0.191224,1.15823e-24,0.499885,-1.00537,1,1937
0.203364,0.456745,0,0.499973,0.456711,-0.203231,9.8035e-26,0.499888,-0.986706,1,1938
0.215252,0.451268,0,0.499976,0.451247,-0.215099,-8.84437e-24,0.499891,-0.967599,1,1939
0.226993,0.445482,0,0.49998,0.445474,-0.226821,5.3051e-24,0.499895,-0.948127,1,1940
0.238579,0.439391,0,0.499984,0.439398,-0.238388,1.18174e-23,0.499899,-0.928364,1,1941
0.250002,0.432999,0,0.499989,0.433021,-0.249792,1.42701e-23,0.499903,-0.908381,1,1942
0.261253,0.426311,0,0.499994,0.426349,-0.261027,1.74523e-23,0.499909,-0.888243,1,1943
0.272326,0.419331,0,0.5,0.419387,-0.272084,-9.7229e-25,0.499915,-0.868016,1,1944
0.283213,0.412064,0,0.500006,0.412138,-0.282955,-8.43762e-24,0.499921,-0.847758,1,1945
0.293906,0.404515,0,0.500013,0.404607,-0.293634,-1.16767e-23,0.499928,-0.827526,1,1946
0.304399,0.396689,0,0.500021,0.396801,-0.304112,1.26207e-23,0.499935,-0.80737,1,1947
0.314683,0.388592,0,0.500029,0.388723,-0.314384,-2.1316e-23,0.499943,-0.787337,1,1948
0.324752,0.380228,0,0.500037,0.38038,-0.324442,-9.64205e-24,0.499952,-0.767453,1,1949
0.334599,0.371605,0,0.500046,0.371778,-0.334279,4.96975e-23,0.499961,-0.747715,1,1950
0.344217,0.362726,0,0.500056,0.362921,-0.343888,5.78625e-24,0.49997,-0.72833,1,1951
-0.3536,0.3536,0,0.500066,0.353532,0.353532,-4.95392e-23,0.49997,-0.37279,1,3782
-0.344217,0.362726,0,0.500056,0.362921,0.343888,5.78625e-24,0.49997,-0.422444,1,3783
-0.334599,0.371605,0,0.500046,0.371778,0.334279,4.96975e-23,0.499961,-0.469591,1,3784
-0.324752,0.380228,0,0.500037,0.38038,0.324442,-9.64205e-24,0.499952,-0.515754,1,3785
-0.314683,0.388592,0,0.500029,0.388723,0.314384,-2.1316e-23,0.499943,-0.561147,1,3786
-0.304399,0.396689,0,0.500021,0.396801,0.304112,1.26207e-23,0.499935,-0.605594,1,3787
-0.293906,0.404515,0,0.500013,0.404607,0.293634,-1.16767e-23,0.499928,-0.648953,1,3788
-0.283213,0.412064,0,0.500006,0.412138,0.282955,-8.43762e-24,0.499921,-0.691113,1,3789
-0.272326,0.419331,0,0.5,0.419387,0.272084,-9.7229e-25,0.499915,-0.731966,1,3790
-0.261253,0.426311,0,0.499994,0.426349,0.261027,1.74523e-23,0.499909,-0.771412,1,3791
-0.250002,0.432999,0,0.499989,0.433021,0.249792,1.42701e-23,0.499903,-0.80936,1,3792
-0.238579,0.439391,0,0.499984,0.439398,0.238388,1.18174e-23,0.499899,-0.845721,1,3793
-0.226993,0.445482,0,0.49998,0.445474,0.226821,5.3051e-24,0.499895,-0.880419,1,3794
-0.215252,0.451268,0,0.499976,0.451247,0.215099,-8.84437e-24,0.499891,-0.913381,1,3795
-0.203364,0.456745,0,0.499973,0.456711,0.203231,9.8035e-26,0.499888,-0.944541,1,3796
-0.191337,0.46191,0,0.499971,0.461865,0.191224,1.15823e-24,0.499885,-0.973843,1,3797
-0.179178,0.466759,0,0.499969,0.466703,0.179087,9.1537e-26,0.499883,-1.00124,1,3798
-0.166898,0.471288,0,0.499967,0.471222,0.166828,2.61219e-25,0.499882,-1.02668,1,3799
-0.154503,0.475495,0,0.499967,0.47542,0.154455,5.85717e-25,0.499881,-1.05014,1,3800
-0.142002,0.479376,0,0.499966,0.479294,0.141977,-1.13196e-25,0.499881,-1.07158,1,3801
-0.129404,0.48293,0,0.499967,0.482841,0.129403,-1.10126e-24,0.499881,-1.091,1,3802
-0.116718,0.486153,0,0.499967,0.486059,0.116739,1.91162e-24,0.499882,-1.10837,1,3803
-0.103951,0.489043,0,0.499969,0.488946,0.103997,-6.03485e-25,0.499883,-1.1237,1,3804
-0.091114,0.491598,0,0.499971,0.491499,0.0911825,-4.57309e-24,0.499886,-1.13699,1,3805
-0.0782141,0.493818,0,0.499973,0.493716,0.0783063,9.468e-26,0.499888,-1.14825,1,3806
-0.0652606,0.495699,0,0.499976,0.495597,0.0653765,-2.67452e-24,0.499891,-1.15749,1,3807
-0.0522624,0.497241,0,0.49998,0.49714,0.052402,-1.86473e-24,0.499895,-1.16475,1,3808
-0.0392283,0.498443,0,0.499984,0.498344,0.0393915,4.62077e-24,0.499898,-1.17004,1,3809
-0.0261673,0.499304,0,0.499989,0.499208,0.0263539,3.14313e-24,0.499903,-1.17337,1,3810
-0.0130882,0.499823,0,0.499994,0.499731,0.0132982,6.70337e-25,0.499908,-1.17494,1,3811
-0.5,0,0,0.5,0,0.499908,1.63774e-24,0.499908,0.799633,1,5672
-0.499823,0.0130882,0,0.499994,0.0132982,0.499731,2.3056e-25,0.499908,0.782326,1,5703
-0.499304,0.0261673,0,0.499989,0.0263539,0.499208,-2.14059e-25,0.499903,0.763634,1,5734
-0.498443,0.0392283,0,0.499984,0.0393915,0.498344,3.48571e-24,0.499898,0.742886,1,5765
-0.497241,0.0522624,0,0.49998,0.052402,0.49714,7.04214e-24,0.499895,0.719994,1,5796
-0.495699,0.0652606,0,0.499976,0.0653765,0.495597,6.48031e-24,0.499891,0.695034,1,5827
-0.493818,0.0782141,0,0.499973,0.0783063,0.493716,3.71111e-24,0.499888,0.668069,1,5858
-0.491598,0.091114,0,0.499971,0.0911825,0.491499,-2.74705e-25,0.499886,0.639152,1,5889
-0.489043,0.103951,0,0.499969,0.103997,0.488946,-7.8389e-25,0.499883,0.608343,1,5920
-0.486153,0.116718,0,0.499967,0.116739,0.486059,-5.2163e-25,0.499882,0.575705,1,5951
-0.48293,0.129404,0,0.499967,0.129403,0.482841,-9.69171e-25,0.499881,0.541306,1,5982
-0.479376,0.142002,0,0.499966,0.141977,0.479294,1.13196e-25,0.499881,0.505219,1,6013
-0.475495,0.154503,0,0.499967,0.154455,0.47542,1.51781e-24,0.499881,0.467522,1,6044
-0.471288,0.166898,0,0.499967,0.166828,0.471222,1.8423e-24,0.499882,0.428297,1,6075
-0.466759,0.179178,0,0.499969,0.179087,0.466703,-9.1537e-26,0.499883,0.387632,1,6106
-0.46191,0.191337,0,0.499971,0.191224,0.461865,-1.15823e-24,0.499885,0.345622,1,6137
-0.456745,0.203364,0,0.499973,0.203231,0.456711,-1.53872e-23,0.499888,0.302362,1,6168
-0.451268,0.215252,0,0.499976,0.215099,0.451247,-6.44475e-24,0.499891,0.257954,1,6199
-0.445482,0.226993,0,0.49998,0.226821,0.445474,1.54692e-23,0.499895,0.212506,1,6230
-0.439391,0.238579,0,0.499984,0.238388,0.439398,8.95688e-24,0.499899,0.166127,1,6261
-0.432999,0.250002,0,0.499989,0.249792,0.433021,-1.42701e-23,0.499903,0.118929,1,6292
-0.426311,0.261253,0,0.499994,0.261027,0.426349,-1.74523e-23,0.499909,0.0710316,1,6323
-0.419331,0.272326,0,0.5,0.272084,0.419387,9.7229e-25,0.499915,0.0225531,1,6354
-0.412064,0.283213,0,0.500006,0.282955,0.412138,8.43762e-24,0.499921,-0.0263828,1,6385
-0.404515,0.293906,0,0.500013,0.293634,0.404607,1.16767e-23,0.499928,-0.0756498,1,6416
-0.396689,0.304399,0,0.500021,0.304112,0.396801,-1.26207e-23,0.499935,-0.12512,1,6447
-0.388592,0.314683,0,0.500029,0.314384,0.388723,-2.0687e-23,0.499943,-0.174662,1,6478
-0.380228,0.324752,0,0.500037,0.324442,0.38038,-3.23609e-23,0.499952,-0.224127,1,6509
-0.371605,0.334599,0,0.500046,0.334279,0.371778,-2.6389e-24,0.499961,-0.27334,1,6540
-0.362726,0.344217,0,0.500056,0.343888,0.362921,-8.2668e-24,0.49997,-0.322444,1,6571
-0.3536,-0.3536,0,0.500066,-0.353532,0.353532,-4.95392e-23,0.49997,0.449826,1,7532
-0.362726,-0.344217,0,0.500056,-0.343888,0.362921,-8.2668e-24,0.49997,0.478489,1,7563
-0.371605,-0.334599,0,0.500046,-0.334279,0.371778,-2.6389e-24,0.499961,0.507432,1,7594
-0.380228,-0.324752,0,0.500037,-0.324442,0.38038,-3.23609e-23,0.499952,0.53583,1,7625
-0.388592,-0.314683,0,0.500029,-0.314384,0.388723,-2.0687e-23,0.499943,0.563513,1,7656
-0.396689,-0.304399,0,0.500021,-0.304112,0.396801,-1.26207e-23,0.499935,0.590451,1,7687
-0.404515,-0.293906,0,0.500013,-0.293634,0.404607,1.16767e-23,0.499928,0.616585,1,7718
-0.412064,-0.283213,0,0.500006,-0.282955,0.412138,8.43762e-24,0.499921,0.641832,1,7749
-0.419331,-0.272326,0,0.5,-0.272084,0.419387,9.7229e-25,0.499915,0.666104,1,7780
-0.426311,-0.261253,0,0.499994,-0.261027,0.426349,-1.74523e-23,0.499909,0.689314,1,7811
-0.432999,-0.250002,0,0.499989,-0.249792,0.433021,-1.42701e-23,0.499903,0.711374,1,7842
-0.439391,-0.238579,0,0.499984,-0.238388,0.439398,8.95688e-24,0.499899,0.732193,1,7873
-0.445482,-0.226993,0,0.49998,-0.226821,0.445474,1.54692e-23,0.499895,0.751686,1,7904
-0.451268,-0.215252,0,0.499976,-0.215099,0.451247,-6.44475e-24,0.499891,0.769768,1,7935
-0.456745,-0.203364,0,0.499973,-0.203231,0.456711,-1.53872e-23,0.499888,0.786361,1,7966
-0.46191,-0.191337,0,0.499971,-0.191224,0.461865,-1.15823e-24,0.499885,0.801386,1,7997
-0.466759,-0.179178,0,0.499969,-0.179087,0.466703,-9.1537e-26,0.499883,0.81477,1,8028
-0.471288,-0.166898,0,0.499967,-0.166828,0.471222,1.8423e-24,0.499882,0.826442,1,8059
-0.475495,-0.154503,0,0.499967,-0.154455,0.47542,1.51781e-24,0.499881,0.836341,1,8090
-0.479376,-0.142002,0,0.499966,-0.141977,0.479294,1.13196e-25,0.499881,0.844404,1,8121
-0.48293,-0.129404,0,0.499967,-0.129403,0.482841,-9.69171e-25,0.499881,0.850576,1,8152
-0.486153,-0.116718,0,0.499967,-0.116739,0.486059,-5.2163e-25,0.499882,0.854808,1,8183
-0.489043,-0.103951,0,0.499969,-0.103997,0.488946,-7.8389e-25,0.499883,0.857055,1,8214
-0.491598,-0.091114,0,0.499971,-0.0911825,0.491499,-2.74705e-25,0.499886,0.857279,1,8245
-0.493818,-0.0782141,0,0.499973,-0.0783063,0.493716,3.71111e-24,0.499888,0.855448,1,8276
-0.495699,-0.0652606,0,0.499976,-0.0653765,0.495597,6.48031e-24,0.499891,0.851537,1,8307
-0.497241,-0.0522624,0,0.49998,-0.052402,0.49714,7.04214e-24,0.499895,0.845527,1,8338
-0.498443,-0.0392283,0,0.499984,-0.0393915,0.498344,3.48571e-24,0.499898,0.837417,1,8369
-0.499304,-0.0261673,0,0.499989,-0.0263539,0.499208,-2.14059e-25,0.499903,0.827227,1,8400
-0.499823,-0.0130882,0,0.499994,-0.0132982,0.499731,2.3056e-25,0.499908,0.814846,1,8431
-0.344217,-0.362726,0,0.500056,-0.362921,0.343888,5.78625e-24,0.49997,0.420902,1,10262
-0.334599,-0.371605,0,0.500046,-0.371778,0.334279,4.96975e-23,0.499961,0.391132,1,10263
-0.324752,-0.380228,0,0.500037,-0.38038,0.324442,-9.64205e-24,0.499952,0.361292,1,10264
-0.314683,-0.388592,0,0.500029,-0.388723,0.314384,-2.1316e-23,0.499943,0.331545,1,10265
-0.304399,-0.396689,0,0.500021,-0.396801,0.304112,1.26207e-23,0.499935,0.301921,1,10266
-0.293906,-0.404515,0,0.500013,-0.404607,0.293634,-1.16767e-23,0.499928,0.272474,1,10267
-0.283213,-0.412064,0,0.500006,-0.412138,0.282955,-8.43762e-24,0.499921,0.24327,1,10268
-0.272326,-0.419331,0,0.5,-0.419387,0.272084,-9.7229e-25,0.499915,0.214373,1,10269
-0.261253,-0.426311,0,0.499994,-0.426349,0.261027,1.74523e-23,0.499909,0.185852,1,10270
-0.250002,-0.432999,0,0.499989,-0.433021,0.249792,1.42701e-23,0.499903,0.15777,1,10271
-0.238579,-0.439391,0,0.499984,-0.439398,0.238388,1.18174e-23,0.499899,0.130188,1,10272
-0.226993,-0.445482,0,0.49998,-0.445474,0.226821,5.3051e-24,0.499895,0.103162,1,10273
-0.215252,-0.451268,0,0.499976,-0.451247,0.215099,-8.84437e-24,0.499891,0.0767443,1,10274
