Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,p,Block Number,Point ID
0.5,0,0,0.5,0,-9.98427,8.66152e-24,9.98427,-39.4417,1,0
0.498443,0.0392283,0,0.499984,0.78675,-9.95328,3.47309e-23,9.98432,-41.304,1,11
0.493818,0.0782141,0,0.499973,1.56399,-9.86085,2.9507e-23,9.9841,-43.1337,1,22
0.486153,0.116718,0,0.499967,2.3316,-9.70791,1.6898e-23,9.98398,-44.9139,1,33
0.475495,0.154503,0,0.499967,3.0849,-9.49542,-7.76859e-23,9.98397,-46.6268,1,44
0.46191,0.191337,0,0.499971,3.81926,-9.22467,-6.25418e-23,9.98405,-48.2563,1,55
0.445482,0.226993,0,0.49998,4.53022,-8.8973,4.38561e-22,9.98424,-49.7896,1,66
0.426311,0.261253,0,0.499994,5.21342,-8.51534,1.80616e-21,9.98452,-51.2201,1,77
0.404515,0.293906,0,0.500013,5.86467,-8.08109,5.2072e-22,9.9849,-52.5463,1,88
0.380228,0.324752,0,0.500037,6.47999,-7.59721,-1.77885e-21,9.98538,-53.7627,1,99
0.3536,0.3536,0,0.500066,7.0607,-7.0607,0,9.98534,-54.8534,1,110
0,0.5,0,0.5,9.98427,0,-8.66152e-24,9.98427,-60.5091,1,242
0.0392283,0.498443,0,0.499984,9.95328,-0.78675,-3.47309e-23,9.98432,-60.4408,1,243
0.0782141,0.493818,0,0.499973,9.86085,-1.56399,-2.9507e-23,9.9841,-60.2267,1,244
0.116718,0.486153,0,0.499967,9.70791,-2.3316,1.93358e-23,9.98398,-59.8858,1,245
0.154503,0.475495,0,0.499967,9.49542,-3.0849,-2.58785e-22,9.98397,-59.4365,1,246
0.191337,0.46191,0,0.499971,9.22467,-3.81926,-3.10163e-22,9.98405,-58.8894,1,247
0.226993,0.445482,0,0.49998,8.8973,-4.53022,-4.38561e-22,9.98424,-58.2506,1,248
0.261253,0.426311,0,0.499994,8.51534,-5.21342,-1.22524e-22,9.98452,-57.5256,1,249
0.293906,0.404515,0,0.500013,8.08109,-5.86467,-9.40553e-22,9.9849,-56.7181,1,250
0.324752,0.380228,0,0.500037,7.59721,-6.47999,-3.2462e-22,9.98538,-55.8295,1,251
-0.3536,0.3536,0,0.500066,7.0607,7.0607,0,9.98534,-52.8994,1,462
-0.324752,0.380228,0,0.500037,7.59721,6.47999,-3.2462e-22,9.98538,-54.3286,1,463
-0.293906,0.404515,0,0.500013,8.08109,5.86467,-9.40553e-22,9.9849,-55.6096,1,464
-0.261253,0.426311,0,0.499994,8.51534,5.21342,-1.22524e-22,9.98452,-56.7505,1,465
-0.226993,0.445482,0,0.49998,8.8973,4.53022,-4.38561e-22,9.98424,-57.7495,1,466
-0.191337,0.46191,0,0.499971,9.22467,3.81926,-3.10163e-22,9.98405,-58.5979,1,467
-0.154503,0.475495,0,0.499967,9.49542,3.0849,-2.58785e-22,9.98397,-59.2892,1,468
-0.116718,0.486153,0,0.499967,9.70791,2.3316,1.93358e-23,9.98398,-59.8228,1,469
-0.0782141,0.493818,0,0.499973,9.86085,1.56399,-2.9507e-23,9.9841,-60.2018,1,470
