Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,p,Block Number,Point ID
0.5,0,0,0.5,0,-0.499213,4.33076e-25,0.499213,-0.385094,1,0
0.498443,0.0392283,0,0.499984,0.0393375,-0.497663,1.73655e-24,0.499216,-0.396315,1,11
0.493818,0.0782141,0,0.499973,0.0781993,-0.493042,1.47535e-24,0.499205,-0.411484,1,22
0.486153,0.116718,0,0.499967,0.11658,-0.485395,8.44899e-25,0.499199,-0.430779,1,33
0.475495,0.154503,0,0.499967,0.154244,-0.474771,-3.8843e-24,0.499198,-0.454485,1,44
0.46191,0.191337,0,0.499971,0.190964,-0.461233,-3.12709e-24,0.499203,-0.482902,1,55
0.445482,0.226993,0,0.49998,0.226512,-0.444865,2.1928e-23,0.499212,-0.516277,1,66
0.426311,0.261253,0,0.499994,0.260671,-0.425766,9.03082e-23,0.499226,-0.554779,1,77
0.404515,0.293906,0,0.500013,0.293234,-0.404054,2.60364e-23,0.499245,-0.598418,1,88
0.380228,0.324752,0,0.500037,0.323999,-0.379861,-8.89424e-23,0.499269,-0.646876,1,99
0.3536,0.3536,0,0.500066,0.353035,-0.353035,0,0.499267,-0.699179,1,110
0,0.5,0,0.5,0.499213,0,-4.33076e-25,0.499213,-1.14217,1,242
0.0392283,0.498443,0,0.499984,0.497663,-0.0393375,-1.73655e-24,0.499216,-1.13317,1,243
0.0782141,0.493818,0,0.499973,0.493042,-0.0781993,-1.47535e-24,0.499205,-1.11035,1,244
0.116718,0.486153,0,0.499967,0.485395,-0.11658,9.66791e-25,0.499199,-1.0762,1,245
0.154503,0.475495,0,0.499967,0.474771,-0.154244,-1.29393e-23,0.499198,-1.03299,1,246
0.191337,0.46191,0,0.499971,0.461233,-0.190964,-1.55082e-23,0.499203,-0.982942,1,247
0.226993,0.445482,0,0.49998,0.444865,-0.226512,-2.1928e-23,0.499212,-0.928202,1,248
0.261253,0.426311,0,0.499994,0.425766,-0.260671,-6.12615e-24,0.499226,-0.870757,1,249
0.293906,0.404515,0,0.500013,0.404054,-0.293234,-4.70279e-23,0.499245,-0.812369,1,250
0.324752,0.380228,0,0.500037,0.379861,-0.323999,-1.62312e-23,0.499269,-0.754631,1,251
-0.3536,0.3536,0,0.500066,0.353035,0.353035,0,0.499267,-0.3572,1,462
-0.324752,0.380228,0,0.500037,0.379861,0.323999,-1.62312e-23,0.499269,-0.495558,1,463
-0.293906,0.404515,0,0.500013,0.404054,0.293234,-4.70279e-23,0.499245,-0.62525,1,464
-0.261253,0.426311,0,0.499994,0.425766,0.260671,-6.12615e-24,0.499226,-0.744283,1,465
